Metadata_target_list_split_compact,Metadata_broad_sample
AKT1,BRD-K25412176-001-01-9
AKT1,BRD-K34581968-001-05-3
AKT1,BRD-K54330070-001-19-6
AKT1,BRD-K62810658-001-11-4
AKT2|AKT3,BRD-K25412176-001-01-9
ALDH2,BRD-K06890060-001-09-1
ALDH2,BRD-K76037122-001-02-5
ALK,BRD-A23124853-001-01-4
ALK,BRD-K22149900-001-06-2
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,BRD-A85242401-001-11-5
ALOX5,BRD-A37704979-001-12-3
ALOX5,BRD-K10670311-001-17-1
ALOX5,BRD-K54330070-001-19-6
AMY1A|AMY2A|AMY2B|ANG|CCL8|HCRT|IGLC1|KRTAP5-2|TFF2|VEGFA,BRD-K57313110-001-06-8
ANO1,BRD-K44067360-001-29-5
ANO1,BRD-K98763141-001-30-8
ANXA1|NR0B1,BRD-A10188456-001-04-9
ANXA1|NR0B1,BRD-K38775274-001-22-1
AOC1|PKD2|PLAU|SLC9A1|TRPC7|TRPV2,BRD-K97181089-003-24-7
AOX1|BGLAP|F10|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,BRD-K78126613-001-27-7
ASIC1,BRD-K06674495-334-04-0
ASIC1,BRD-K87158025-003-08-7
ASIC1,BRD-K97181089-003-24-7
ASIC2|ASIC3,BRD-K06674495-334-04-0
ASIC2|ASIC3,BRD-K97181089-003-24-7
ATM,BRD-K25311561-001-10-7
ATM,BRD-K36016295-001-05-2
ATP1A1,BRD-A91008255-003-24-8
AURKA|AURKB,BRD-K07881437-001-03-8
AURKA|AURKB,BRD-K21728777-001-02-3
AURKA|AURKB,BRD-K36740062-001-06-6
AURKA|AURKB,BRD-K55966568-001-09-6
AURKC,BRD-K07881437-001-03-8
AURKC,BRD-K21728777-001-02-3
AURKC,BRD-K36740062-001-06-6
AVPR1A,BRD-K37385792-003-02-1
AVPR1A,BRD-K68982262-001-01-4
AVPR2,BRD-K37385792-003-02-1
BAX,BRD-A18763547-300-06-3
BAX,BRD-K07442505-001-03-6
BCHE|FFAR2|FFAR3,BRD-K05878375-236-05-7
BCR,BRD-K44227013-001-08-0
BCR,BRD-K87632963-001-03-0
BRAF,BRD-K16730910-001-07-3
BRAF,BRD-K62810658-001-11-4
BRAF,BRD-K73789395-001-09-9
BRAF,BRD-K90747162-001-01-4
BRD4,BRD-K12502280-001-11-4
BRD4,BRD-K13094524-001-04-2
BRD4,BRD-K64890080-001-02-1
BTK,BRD-K64034691-001-01-9
BTK,BRD-K87782578-001-01-4
C1R|PRSS1|TPSAB1|TRPM7,BRD-K06674495-334-04-0
CA1,BRD-A22032524-074-09-9
CA1,BRD-K09295674-001-09-8
CA1,BRD-K18131774-001-18-4
CA1,BRD-K23913458-001-20-7
CA12|CA14|CA2|CA6|CA9,BRD-K09295674-001-09-8
CA12|CA14|CA2|CA6|CA9,BRD-K18131774-001-18-4
CA12|CA14|CA2|CA6|CA9,BRD-K23913458-001-20-7
CA13|CA3|CA5A|CA5B|CA7,BRD-K18131774-001-18-4
CA4,BRD-K18131774-001-18-4
CA4,BRD-K23913458-001-20-7
CACNA1A,BRD-A86665761-001-01-1
CACNA1A,BRD-A91008255-003-24-8
CACNA1A,BRD-K61250553-003-30-6
CACNA1B,BRD-A22032524-074-09-9
CACNA1B,BRD-A86665761-001-01-1
CACNA1C,BRD-A22032524-074-09-9
CACNA1C,BRD-A30815329-001-12-1
CACNA1C,BRD-A58048407-001-20-4
CACNA1C,BRD-A69636825-003-04-7
CACNA1C,BRD-A74391928-051-03-9
CACNA1C,BRD-A84687895-001-03-2
CACNA1C,BRD-A86665761-001-01-1
CACNA1D|CACNB2,BRD-A22032524-074-09-9
CACNA1D|CACNB2,BRD-A30815329-001-12-1
CACNA1D|CACNB2,BRD-A58048407-001-20-4
CACNA1D|CACNB2,BRD-A84687895-001-03-2
CACNA1D|CACNB2,BRD-A86665761-001-01-1
CACNA1E|CACNA2D4|CACNG2|CACNG3|CACNG4|CACNG5|CACNG6|CACNG7|CACNG8,BRD-A86665761-001-01-1
CACNA1F,BRD-A22032524-074-09-9
CACNA1F,BRD-A30815329-001-12-1
CACNA1F,BRD-A58048407-001-20-4
CACNA1F,BRD-A86665761-001-01-1
CACNA1G|CACNA1I,BRD-A86665761-001-01-1
CACNA1G|CACNA1I,BRD-K42352790-001-05-3
CACNA1H,BRD-A30815329-001-12-1
CACNA1H,BRD-A86665761-001-01-1
CACNA1H,BRD-A91008255-003-24-8
CACNA1H,BRD-K42352790-001-05-3
CACNA1S,BRD-A22032524-074-09-9
CACNA1S,BRD-A30815329-001-12-1
CACNA1S,BRD-A58048407-001-20-4
CACNA1S,BRD-A69636825-003-04-7
CACNA1S,BRD-A84687895-001-03-2
CACNA1S,BRD-A86665761-001-01-1
CACNA2D1,BRD-A18992208-003-02-7
CACNA2D1,BRD-A22032524-074-09-9
CACNA2D1,BRD-A30815329-001-12-1
CACNA2D1,BRD-A69636825-003-04-7
CACNA2D1,BRD-A74391928-051-03-9
CACNA2D1,BRD-A84687895-001-03-2
CACNA2D1,BRD-A86665761-001-01-1
CACNA2D2,BRD-A30815329-001-12-1
CACNA2D2,BRD-A86665761-001-01-1
CACNA2D2,BRD-A91008255-003-24-8
CACNA2D3,BRD-A22032524-074-09-9
CACNA2D3,BRD-A84687895-001-03-2
CACNA2D3,BRD-A86665761-001-01-1
CACNB1,BRD-A22032524-074-09-9
CACNB1,BRD-A58048407-001-20-4
CACNB1,BRD-A74391928-051-03-9
CACNB1,BRD-A86665761-001-01-1
CACNB3|CACNB4,BRD-A58048407-001-20-4
CACNB3|CACNB4,BRD-A86665761-001-01-1
CACNG1,BRD-A18992208-003-02-7
CACNG1,BRD-A69636825-003-04-7
CACNG1,BRD-A74391928-051-03-9
CACNG1,BRD-A86665761-001-01-1
CALM1,BRD-A30815329-001-12-1
CALM1,BRD-A91008255-003-24-8
CALM1,BRD-K61250553-003-30-6
CAMLG|FPR1|PPP3R2|SLC10A1,BRD-K13533483-001-16-2
