Metadata_target_list_split_compact,Metadata_broad_sample
ADRA2A,BRD-A72483914-001-03-7
ADRA2A,BRD-A99888680-001-05-3
ADRA2A,BRD-K18895904-001-16-1
ADRA2A,BRD-K50720187-051-03-1
ADRA2A,BRD-K70358946-001-17-3
ADRA2A,BRD-K70778732-003-27-5
ADRA2B|ADRA2C,BRD-A65597028-003-08-1
ADRA2B|ADRA2C,BRD-A72483914-001-03-7
ADRA2B|ADRA2C,BRD-A99888680-001-05-3
ADRA2B|ADRA2C,BRD-K18895904-001-16-1
ADRA2B|ADRA2C,BRD-K70358946-001-17-3
ADRB1|ADRB2|ADRB3|HRH2|HTR5A,BRD-K18895904-001-16-1
AGER,BRD-K51899933-001-02-6
AGER,BRD-K87691185-001-01-2
AHR,BRD-A58048407-001-20-4
AHR,BRD-K78692225-001-24-5
AKR1B1,BRD-A89164055-001-03-3
AKR1B1,BRD-K35498378-001-06-1
AKR1B1,BRD-K76792669-001-08-1
AKR1C1,BRD-A01078468-001-14-8
AKR1C1,BRD-K93632104-001-17-2
AKR1C3|AR|PANX1|PANX2|PANX3|TRPC5|TRPM5,BRD-K44067360-001-29-5
AKT1,BRD-A37704979-001-12-3
AKT1,BRD-K25412176-001-01-9
AKT1,BRD-K34581968-001-05-3
AKT1,BRD-K54330070-001-19-6
AKT1,BRD-K62810658-001-11-4
AKT2|AKT3,BRD-K25412176-001-01-9
ALDH2,BRD-K06890060-001-09-1
ALDH2,BRD-K60659193-001-01-0
ALDH2,BRD-K76037122-001-02-5
ALK,BRD-A23124853-001-01-4
ALK,BRD-K22149900-001-06-2
ALKBH2|ALKBH3|BBOX1|DBH|EGLN1|EGLN2|EGLN3|KDM5D|LCT|OGFOD1|OGFOD2|P4HTM|PAM|PHYH|PLOD1|PLOD2|PLOD3|SLC23A1|SLC23A2|TMLHE,BRD-A85242401-001-11-5
ALOX5,BRD-A37704979-001-12-3
ALOX5,BRD-A69651145-003-11-4
ALOX5,BRD-K10670311-001-17-1
ALOX5,BRD-K50398167-236-22-7
ALOX5,BRD-K54330070-001-19-6
ALOX5,BRD-K97091514-001-11-4
AMD1|CANT1|DCN|NEIL1,BRD-K47978074-001-03-2
AMY1A|AMY2A|AMY2B|CCL8|HCRT|IGLC1|KRTAP5-2|TFF2,BRD-K57313110-001-06-8
ANG,BRD-K57313110-001-06-8
ANG,BRD-K76792669-001-08-1
ANO1,BRD-K44067360-001-29-5
ANO1,BRD-K98763141-001-30-8
ANXA1|NR0B1,BRD-A10188456-001-04-9
ANXA1|NR0B1,BRD-K38775274-001-22-1
AOC1|PKD2|PLAU|SLC9A1|TRPC7|TRPV2,BRD-K97181089-003-24-7
AOX1|BGLAP|F2|F7|F9|GGCX|NQO1|NQO2|PROC|PROS1|PROZ|VKORC1|VKORC1L1,BRD-K78126613-001-27-7
APRT|BHMT|C8G|CPB1|CS|CTDSP1|GNMT|HGS|HS3ST3A1|IL4I1|ITPA|LSM6|MDH2|MIF|PLEKHA1|RNASE3|TNFSF13B|UCK2,BRD-K76792669-001-08-1
ASIC1,BRD-K06674495-334-04-0
ASIC1,BRD-K87158025-003-08-7
ASIC1,BRD-K97181089-003-24-7
ASIC2|ASIC3,BRD-K06674495-334-04-0
ASIC2|ASIC3,BRD-K97181089-003-24-7
ATM,BRD-K25311561-001-10-7
ATM,BRD-K36016295-001-05-2
ATP1A1,BRD-A91008255-003-24-8
ATP2C1|ATP5F1D|KCNK10|KCNK18|KCNK2,BRD-A31564021-001-02-6
ATP2C1|ATP5F1D|KCNK10|KCNK18|KCNK2,BRD-A51831848-001-01-7
AURKA|AURKB,BRD-K07881437-001-03-8
AURKA|AURKB,BRD-K21728777-001-02-3
AURKA|AURKB,BRD-K36740062-001-06-6
AURKA|AURKB,BRD-K55966568-001-09-6
AURKC,BRD-K07881437-001-03-8
AURKC,BRD-K21728777-001-02-3
AURKC,BRD-K36740062-001-06-6
AVPR1A,BRD-K25243230-001-01-2
AVPR1A,BRD-K37385792-003-02-1
AVPR1A,BRD-K68982262-001-01-4
AVPR1B|OXTR,BRD-K25243230-001-01-2
AVPR2,BRD-K25243230-001-01-2
AVPR2,BRD-K37385792-003-02-1
BAX,BRD-A18763547-300-06-3
BAX,BRD-K07442505-001-03-6
BCHE|FFAR3,BRD-K05878375-236-05-7
BCR,BRD-K44227013-001-08-0
BCR,BRD-K87632963-001-03-0
BRAF,BRD-K16730910-001-07-3
BRAF,BRD-K62810658-001-11-4
BRAF,BRD-K73789395-001-09-9
BRAF,BRD-K90747162-001-01-4
BRD4,BRD-K12502280-001-11-4
BRD4,BRD-K13094524-001-04-2
BRD4,BRD-K64890080-001-02-1
BTK,BRD-K64034691-001-01-9
BTK,BRD-K87782578-001-01-4
C1R|PRSS1|TPSAB1|TRPM7,BRD-K06674495-334-04-0
CA1,BRD-A22032524-074-09-9
CA1,BRD-K09295674-001-09-8
CA1,BRD-K18131774-001-18-4
CA1,BRD-K23913458-001-20-7
CA1,BRD-K74913225-001-14-0
CA12|CA14|CA2,BRD-K09295674-001-09-8
CA12|CA14|CA2,BRD-K18131774-001-18-4
CA12|CA14|CA2,BRD-K23913458-001-20-7
CA12|CA14|CA2,BRD-K74913225-001-14-0
CA13|CA3|CA5B,BRD-K18131774-001-18-4
CA4,BRD-K18131774-001-18-4
